Value,Date,Sub-Sector,Super Region,UNIT,Sub-Sector Level 2,Source,TIME LEVEL,Value,Date,Sub-Sector,Super Region,UNIT,Sub-Sector Level 2,Source,TIME LEVEL
0.25,2020-08-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,0.25,2020-08-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
2.0,2018-03-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,2.0,2018-03-07,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
0.25,2021-01-25,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,0.25,2021-01-25,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
0.25,2020-08-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,0.25,2020-08-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
2.0,2018-03-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,2.0,2018-03-06,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
0.25,2021-01-22,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,0.25,2021-01-22,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
0.25,2020-08-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,0.25,2020-08-05,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
2.0,2018-03-09,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,2.0,2018-03-09,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
0.25,2020-08-04,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,0.25,2020-08-04,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
2.0,2018-03-08,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,2.0,2018-03-08,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
0.25,2021-01-20,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,0.25,2021-01-20,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
0.25,2021-01-21,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,0.25,2021-01-21,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
2.0,2018-03-01,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,2.0,2018-03-01,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
0.25,2020-08-03,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,,0.25,2020-08-03,"INTEREST RATES - FED FUNDS, COMMERCIAL PAPER, PRIME RATE, TREASURY",UNITED STATES,PERCENT:_PER_YEAR,DISCOUNT RATE,US FEDERAL RESERVES,
